x, y,count,not,nand,and,orn,or,andn,nor,xor
39,7,6,0,0,4,0,0,6,0,0
40,7,6,0,0,5,0,0,5,0,0
41,7,6,0,0,6,0,0,5,0,0
42,7,6,0,0,6,0,0,4,0,0
43,7,6,0,0,7,0,0,3,0,0
44,7,6,0,0,8,0,0,2,0,0
45,7,6,0,0,9,0,0,2,0,0
46,7,7,0,0,10,0,0,0,0,0
47,7,7,0,0,11,0,0,0,0,0
48,7,7,0,0,12,0,0,0,0,0
49,7,7,0,0,13,0,0,0,0,0
50,7,7,0,0,14,0,0,0,0,0
51,7,7,0,0,15,0,0,0,0,0
52,7,7,0,0,16,0,0,0,0,0
53,7,6,0,0,16,0,0,0,1,0
54,7,6,0,0,16,0,0,0,2,0
55,7,6,0,0,17,0,0,0,2,0
56,7,6,0,0,17,0,0,0,3,0
57,7,6,0,0,17,0,0,0,3,0
58,7,6,0,0,17,0,0,0,4,0
59,7,5,0,0,18,0,0,0,4,1
0,8,6,0,0,0,0,12,0,0,22
1,8,6,0,0,0,0,11,0,0,21
2,8,6,0,0,0,0,10,0,0,20
3,8,6,0,0,0,0,9,0,0,19
4,8,6,0,0,0,0,8,0,0,18
5,8,6,0,0,0,0,7,0,0,17
6,8,6,0,0,0,0,6,0,0,16
7,8,6,0,0,0,0,5,0,0,15
8,8,6,0,0,0,0,4,0,0,14
9,8,5,0,0,0,0,4,1,0,13
10,8,5,0,0,0,0,3,1,0,12
11,8,5,0,0,0,0,2,2,0,11
12,8,6,0,0,0,0,0,2,0,10
13,8,6,0,0,0,0,0,3,0,9
14,8,6,0,0,0,0,0,4,0,8
15,8,6,0,0,0,0,0,4,0,7
16,8,6,0,0,0,0,0,5,0,6
17,8,6,0,0,0,0,0,6,0,5
18,8,6,0,0,0,0,0,7,0,4
19,8,6,0,0,0,0,0,8,0,3
20,8,6,0,0,0,0,0,8,0,2
21,8,7,0,0,0,0,0,8,0,0
22,8,7,0,0,0,0,0,8,0,0
23,8,7,0,0,0,0,0,7,0,0
24,8,7,0,0,0,0,0,7,0,0
25,8,7,0,0,0,0,0,7,0,0
26,8,7,0,0,0,0,0,7,0,0
27,8,7,0,0,0,0,0,6,0,0
28,8,7,0,0,0,0,0,6,0,0
29,8,7,0,0,0,0,0,6,0,0
30,8,7,0,0,0,0,0,6,0,0
31,8,7,0,0,0,0,0,6,0,0
32,8,7,0,0,0,0,0,6,0,0
33,8,7,0,0,0,0,0,6,0,0
34,8,7,0,0,0,0,0,6,0,0
35,8,6,0,0,1,0,0,6,0,0
36,8,6,0,0,1,0,0,6,0,0
37,8,6,0,0,2,0,0,6,0,0
38,8,6,0,0,3,0,0,5,0,0
39,8,6,0,0,4,0,0,5,0,0
40,8,6,0,0,5,0,0,5,0,0
41,8,6,0,0,6,0,0,4,0,0
42,8,6,0,0,7,0,0,4,0,0
43,8,6,0,0,7,0,0,3,0,0
44,8,6,0,0,8,0,0,3,0,0
45,8,6,0,0,9,0,0,2,0,0
46,8,6,0,0,10,0,0,1,0,0
47,8,7,0,0,11,0,0,0,0,0
48,8,7,0,0,12,0,0,0,0,0
49,8,7,0,0,13,0,0,0,0,0
50,8,7,0,0,14,0,0,0,0,0
51,8,7,0,0,15,0,0,0,0,0
52,8,7,0,0,15,0,0,0,0,0
53,8,7,0,0,15,0,0,0,0,0
54,8,6,0,0,16,0,0,0,1,0
55,8,6,0,0,16,0,0,0,2,0
56,8,6,0,0,16,0,0,0,2,0
57,8,6,0,0,16,0,0,0,3,0
58,8,6,0,0,17,0,0,0,3,0
59,8,6,0,0,17,0,0,0,3,0
0,9,6,0,0,0,0,12,0,0,21
1,9,6,0,0,0,0,11,0,0,21
2,9,6,0,0,0,0,10,0,0,20
3,9,6,0,0,0,0,9,0,0,19
4,9,6,0,0,0,0,8,0,0,18
5,9,6,0,0,0,0,7,0,0,17
6,9,6,0,0,0,0,6,0,0,16
7,9,5,0,0,0,0,5,1,0,15
8,9,5,0,0,0,0,5,1,0,14
9,9,5,0,0,0,0,4,1,0,13
10,9,5,0,0,0,0,3,2,0,12
11,9,5,0,0,0,0,2,2,0,11
12,9,5,0,0,0,0,1,3,0,10
13,9,6,0,0,0,0,0,3,0,9
14,9,6,0,0,0,0,0,4,0,8
15,9,6,0,0,0,0,0,5,0,7
16,9,6,0,0,0,0,0,5,0,6
17,9,6,0,0,0,0,0,6,0,5
18,9,6,0,0,0,0,0,7,0,4
19,9,6,0,0,0,0,0,8,0,3
20,9,6,0,0,0,0,0,8,0,2
21,9,6,0,0,0,0,0,8,0,1
22,9,7,0,0,0,0,0,7,0,0
23,9,7,0,0,0,0,0,7,0,0
24,9,7,0,0,0,0,0,6,0,0
25,9,7,0,0,0,0,0,6,0,0
26,9,7,0,0,0,0,0,6,0,0
27,9,7,0,0,0,0,0,6,0,0
28,9,7,0,0,0,0,0,5,0,0
29,9,7,0,0,0,0,0,5,0,0
30,9,7,0,0,0,0,0,5,0,0
31,9,7,0,0,0,0,0,5,0,0
32,9,7,0,0,0,0,0,5,0,0
33,9,7,0,0,0,0,0,5,0,0
34,9,7,0,0,0,0,0,5,0,0
35,9,6,0,0,1,0,0,5,0,0
36,9,6,0,0,2,0,0,5,0,0
37,9,6,0,0,2,0,0,5,0,0
38,9,6,0,0,3,0,0,5,0,0
39,9,6,0,0,4,0,0,4,0,0
40,9,6,0,0,5,0,0,4,0,0
41,9,6,0,0,6,0,0,4,0,0
42,9,6,0,0,7,0,0,3,0,0
43,9,6,0,0,8,0,0,3,0,0
44,9,6,0,0,8,0,0,3,0,0
45,9,6,0,0,9,0,0,2,0,0
46,9,6,0,0,10,0,0,2,0,0
47,9,6,0,0,11,0,0,1,0,0
48,9,7,0,0,12,0,0,0,0,0
49,9,7,0,0,13,0,0,0,0,0
50,9,7,0,0,14,0,0,0,0,0
51,9,7,0,0,14,0,0,0,0,0
52,9,7,0,0,14,0,0,0,0,0
53,9,7,0,0,15,0,0,0,0,0
54,9,7,0,0,15,0,0,0,0,0
55,9,6,0,0,15,0,0,0,1,0
56,9,6,0,0,15,0,0,0,2,0
57,9,6,0,0,16,0,0,0,2,0
58,9,6,0,0,16,0,0,0,2,0
59,9,5,0,0,16,0,0,0,3,1
0,10,5,0,0,0,0,12,1,0,20
1,10,5,0,0,0,0,11,1,0,20
2,10,6,0,0,0,0,10,0,0,20
3,10,5,0,0,0,0,9,1,0,19
4,10,5,0,0,0,0,8,1,0,18
5,10,5,0,0,0,0,7,1,0,17
6,10,5,0,0,0,0,6,1,0,16
7,10,5,0,0,0,0,6,1,0,15
8,10,5,0,0,0,0,5,2,0,14
9,10,5,0,0,0,0,4,2,0,13
10,10,5,0,0,0,0,3,2,0,12
11,10,5,0,0,0,0,2,3,0,11
12,10,5,0,0,0,0,2,3,0,10
13,10,6,0,0,0,0,0,4,0,9
14,10,6,0,0,0,0,0,4,0,8
15,10,6,0,0,0,0,0,5,0,7
16,10,6,0,0,0,0,0,6,0,6
17,10,6,0,0,0,0,0,6,0,5
18,10,6,0,0,0,0,0,7,0,4
19,10,6,0,0,0,0,0,8,0,3
20,10,6,0,0,0,0,0,8,0,2
21,10,6,0,0,0,0,0,7,0,2
22,10,7,0,0,0,0,0,7,0,0
23,10,7,0,0,0,0,0,6,0,0
24,10,7,0,0,0,0,0,6,0,0
25,10,7,0,0,0,0,0,5,0,0
26,10,7,0,0,0,0,0,5,0,0
27,10,7,0,0,0,0,0,5,0,0
28,10,7,0,0,0,0,0,5,0,0
29,10,7,0,0,0,0,0,4,0,0
30,10,7,0,0,0,0,0,4,0,0
31,10,7,0,0,0,0,0,4,0,0
