x, y,not,nand,and,orn,or,andn,nor,xor
16,10,0,2,17,14,7,16,0,17
17,10,0,3,18,14,6,16,0,18
18,10,0,4,19,14,5,15,0,17
19,10,0,5,20,14,5,14,0,16
20,10,0,6,21,14,4,14,0,15
21,10,0,6,22,14,3,13,0,14
22,10,0,7,23,14,2,13,0,13
23,10,0,8,23,14,0,12,0,12
24,10,0,9,22,14,0,12,0,11
25,10,0,10,21,14,0,11,0,10
26,10,0,11,21,15,0,11,0,9
27,10,0,12,20,15,0,10,0,8
28,10,0,13,19,15,0,10,0,7
29,10,0,14,18,15,0,9,0,6
30,10,0,15,17,15,0,9,0,5
31,10,0,16,17,16,0,8,0,4
32,10,0,17,16,16,0,8,0,3
33,10,0,18,15,17,0,8,0,2
34,10,0,19,15,17,0,7,0,1
35,10,0,20,14,18,0,7,0,0
36,10,0,21,14,18,0,7,0,0
37,10,0,22,13,19,0,6,0,0
38,10,0,22,13,19,0,6,0,0
39,10,1,21,13,20,0,6,0,0
40,10,1,20,12,21,0,6,0,0
41,10,2,19,12,22,0,6,0,0
42,10,3,18,12,21,0,6,0,0
43,10,4,17,12,20,0,6,0,0
44,10,5,16,12,19,0,5,0,0
45,10,6,15,11,19,0,5,0,0
46,10,7,14,11,18,0,5,0,0
47,10,8,13,11,18,0,5,0,0
48,10,9,12,11,17,0,5,0,0
49,10,10,11,11,17,0,5,0,0
50,10,10,10,11,16,0,5,0,0
51,10,9,9,11,16,0,5,0,0
52,10,8,8,11,15,0,5,0,0
53,10,7,7,11,15,0,5,0,0
54,10,6,6,11,15,0,6,0,0
55,10,5,5,11,15,0,6,0,0
56,10,4,4,11,15,0,6,0,0
57,10,3,3,11,14,0,6,0,0
58,10,2,2,11,14,0,6,0,0
0,11,0,0,12,15,1,5,1,1
1,11,0,0,12,15,2,6,2,2
2,11,0,0,12,15,3,6,3,3
3,11,0,0,12,15,4,6,4,4
4,11,0,0,12,15,5,7,5,5
5,11,0,0,12,15,6,7,6,6
6,11,0,0,12,15,7,7,6,7
7,11,0,0,12,15,8,8,5,8
8,11,0,0,12,15,9,9,5,9
9,11,0,0,13,15,10,10,4,10
10,11,0,0,13,15,11,11,3,11
11,11,0,0,13,15,12,12,3,12
12,11,0,0,13,15,11,13,2,13
13,11,0,0,14,15,10,14,0,14
14,11,0,0,15,15,9,15,0,15
