task,x,y,update,rep,environment
3,33,17,2778,182,50048
4,43,40,7047,182,50048
5,23,37,3086,182,50048
6,33,14,3209,182,50048
7,41,27,3477,182,50048
8,6,52,1891,182,50048
9,28,9,4885,182,50048
1,10,18,1239,498,50060
2,37,39,3052,498,50060
3,4,15,1181,498,50060
4,26,45,3774,498,50060
5,14,26,1713,498,50060
6,9,15,1152,498,50060
7,21,19,1467,498,50060
8,42,17,13233,498,50060
9,38,22,13153,498,50060
1,43,28,688,401,50060
2,49,46,2208,401,50060
3,13,33,1789,401,50060
4,33,29,7606,401,50060
5,33,25,7870,401,50060
6,45,28,713,401,50060
7,28,29,2420,401,50060
8,35,29,7991,401,50060
9,32,24,63321,401,50060
1,38,57,2487,636,50062
2,14,49,466,636,50062
3,19,19,25546,636,50062
4,25,1,5344,636,50062
5,24,15,27455,636,50062
6,16,42,447,636,50062
7,29,8,5865,636,50062
8,58,26,5855,636,50062
9,21,21,23224,636,50062
1,32,20,3856,641,50062
2,13,19,1233,641,50062
3,58,12,14292,641,50062
4,26,22,4015,641,50062
5,9,16,25217,641,50062
6,15,32,1858,641,50062
7,47,39,9114,641,50062
8,39,4,6377,641,50062
9,38,47,66101,641,50062
1,37,48,32199,815,50065
2,26,23,5808,815,50065
3,18,35,7545,815,50065
4,33,51,4411,815,50065
5,27,45,6386,815,50065
6,29,43,1946,815,50065
7,27,49,3742,815,50065
8,6,38,1139,815,50065
1,19,21,27798,862,50065
2,41,10,5907,862,50065
3,39,49,6407,862,50065
4,50,46,3574,862,50065
5,44,2,4205,862,50065
6,10,40,1599,862,50065
7,3,5,3011,862,50065
8,29,5,1774,862,50065
9,46,44,15250,862,50065
1,2,52,1633,713,50063
2,14,31,4530,713,50063
3,48,34,5237,713,50063
4,25,20,4643,713,50063
5,16,15,2532,713,50063
6,56,40,1924,713,50063
7,28,15,11340,713,50063
8,32,25,4988,713,50063
9,32,15,30594,713,50063
1,14,41,11502,868,50065
2,6,14,3641,868,50065
3,33,17,4555,868,50065
4,50,24,5167,868,50065
5,26,30,5239,868,50065
6,43,35,2147,868,50065
7,3,3,3757,868,50065
8,29,37,1838,868,50065
9,29,26,19763,868,50065
1,58,23,7056,886,50065
2,37,9,4066,886,50065
3,40,48,5327,886,50065
4,28,11,3920,886,50065
5,31,22,4479,886,50065
6,3,39,757,886,50065
7,31,31,3203,886,50065
8,23,8,497,886,50065
9,26,42,5791,886,50065
1,15,57,1567,154,50048
2,36,12,4143,154,50048
3,55,26,3225,154,50048
4,46,41,14154,154,50048
5,12,24,4788,154,50048
6,20,8,7711,154,50048
7,44,27,3325,154,50048
8,15,19,957,154,50048
9,50,16,10531,154,50048
1,31,17,1119,123,50048
2,24,21,3133,123,50048
3,13,14,3714,123,50048
5,8,57,5832,123,50048
6,32,14,12147,123,50048
7,20,7,2836,123,50048
8,16,31,3176,123,50048
1,29,56,6738,561,50061
2,29,7,9021,561,50061
3,31,28,34378,561,50061
4,4,27,726,561,50061
5,2,24,7860,561,50061
6,10,20,8006,561,50061
7,6,26,3335,561,50061
8,13,30,9380,561,50061
9,42,34,25224,561,50061
1,8,18,965,383,50013
2,33,26,1640,383,50013
3,32,52,4015,383,50013
4,8,16,1880,383,50013
5,34,39,999,383,50013
6,49,23,3099,383,50013
7,3,18,2281,383,50013
8,5,13,537,383,50013
9,42,46,17691,383,50013
1,25,10,1148,516,50061
2,18,24,1799,516,50061
3,30,16,2838,516,50061
4,28,35,767,516,50061
5,31,23,1477,516,50061
6,30,12,1628,516,50061
7,6,6,564,516,50061
8,5,21,2515,516,50061
9,27,23,2842,516,50061
1,9,11,816,439,50060
2,9,36,852,439,50060
3,17,28,987,439,50060
4,14,36,983,439,50060
5,20,31,1006,439,50060
6,18,33,947,439,50060
7,26,30,1258,439,50060
8,31,32,2548,439,50060
9,32,23,2232,439,50060
1,26,8,1533,444,50060
2,25,53,2426,444,50060
3,15,59,1535,444,50060
4,10,34,2528,444,50060
5,8,47,2420,444,50060
6,16,39,1087,444,50060
7,20,51,2001,444,50060
8,43,26,9297,444,50060
9,32,20,15792,444,50060
1,22,38,1305,433,50060
2,20,10,2083,433,50060
3,24,22,1554,433,50060
4,11,35,2006,433,50060
5,20,9,2120,433,50060
6,32,22,994,433,50060
7,29,29,1654,433,50060
8,35,28,2900,433,50060
9,17,15,6755,433,50060
1,28,29,8802,31,50047
2,3,6,7703,31,50047
3,48,52,26112,31,50047
4,27,16,9551,31,50047
5,28,35,1940,31,50047
6,58,41,2954,31,50047
7,15,11,8551,31,50047
8,8,14,8095,31,50047
9,36,27,20123,31,50047
1,37,3,464,129,50048
2,50,33,1654,129,50048
3,23,40,2928,129,50048
4,44,10,23361,129,50048
5,4,38,1874,129,50048
6,27,22,3310,129,50048
7,34,43,3024,129,50048
8,47,20,1592,129,50048
9,33,12,24991,129,50048
1,23,46,12231,46,50047
2,5,16,3901,46,50047
3,29,33,58246,46,50047
4,12,55,7901,46,50047
5,13,27,1309,46,50047
6,51,0,1932,46,50047
7,11,53,8038,46,50047
8,25,38,7420,46,50047
9,30,41,58204,46,50047
1,23,9,2680,310,50013
2,23,22,4943,310,50013
3,29,37,42130,310,50013
4,6,23,4889,310,50013
5,53,44,1296,310,50013
6,57,1,4979,310,50013
7,27,35,3249,310,50013
8,9,44,1773,310,50013
9,32,20,52143,310,50013
1,6,42,2628,585,50061
2,17,18,4634,585,50061
3,32,44,16483,585,50061
4,13,1,695,585,50061
5,26,14,7057,585,50061
6,11,59,7384,585,50061
7,26,43,2795,585,50061
8,14,8,7295,585,50061
9,25,17,55751,585,50061
1,31,13,2179,367,50013
2,50,13,3312,367,50013
3,30,46,8080,367,50013
4,8,16,3417,367,50013
5,17,38,1062,367,50013
6,19,28,3926,367,50013
7,28,33,3414,367,50013
8,28,28,2668,367,50013
9,13,5,6774,367,50013
1,59,38,2366,389,50013
2,54,48,3401,389,50013
3,40,36,15072,389,50013
4,53,33,3698,389,50013
5,25,37,1487,389,50013
6,39,48,4210,389,50013
7,51,28,3853,389,50013
8,57,42,2074,389,50013
9,46,21,67145,389,50013
1,43,51,12667,850,50065
2,46,47,2219,850,50065
3,44,53,2348,850,50065
4,13,38,4084,850,50065
5,42,37,3116,850,50065
6,10,15,955,850,50065
7,44,53,2207,850,50065
8,0,16,626,850,50065
9,39,33,11986,850,50065
1,50,28,48065,827,50065
2,10,18,3341,827,50065
3,10,24,3473,827,50065
4,19,30,3629,827,50065
5,22,41,3876,827,50065
6,6,54,2277,827,50065
7,39,21,3044,827,50065
8,56,8,1474,827,50065
9,36,43,13708,827,50065
1,0,50,2388,673,50062
2,46,15,1272,673,50062
3,45,9,7838,673,50062
4,16,38,7080,673,50062
5,33,9,14283,673,50062
6,46,11,1139,673,50062
7,41,31,3956,673,50062
8,54,10,4563,673,50062
9,9,43,52648,673,50062
1,58,46,2544,604,50062
2,52,28,1092,604,50062
3,52,12,17731,604,50062
4,32,42,6984,604,50062
5,35,7,72872,604,50062
6,58,35,1123,604,50062
7,55,47,5703,604,50062
8,45,54,3612,604,50062
1,40,9,5952,697,50062
2,41,12,1397,697,50062
3,3,24,15162,697,50062
4,49,1,13484,697,50062
5,31,4,73373,697,50062
6,41,38,727,697,50062
7,31,19,1874,697,50062
8,45,7,5489,697,50062
9,32,6,73359,697,50062
1,55,6,1739,679,50062
2,1,6,1091,679,50062
3,33,51,11168,679,50062
4,49,2,3939,679,50062
6,1,12,1169,679,50062
7,39,8,5013,679,50062
8,48,7,5170,679,50062
9,37,25,26737,679,50062
1,32,19,2343,412,50060
2,21,45,2869,412,50060
3,15,34,2633,412,50060
4,28,32,3555,412,50060
5,23,39,4841,412,50060
6,59,49,1119,412,50060
7,22,37,2798,412,50060
8,33,15,10540,412,50060
9,27,27,5640,412,50060
1,27,8,3888,346,50013
2,52,37,5631,346,50013
3,34,51,10886,346,50013
4,53,39,4856,346,50013
5,17,33,1699,346,50013
6,47,42,8441,346,50013
7,3,26,5309,346,50013
8,13,33,507,346,50013
9,27,39,23948,346,50013
1,2,11,3894,331,50013
2,48,5,6979,331,50013
3,44,38,17721,331,50013
4,24,16,4629,331,50013
5,9,37,553,331,50013
6,16,32,5062,331,50013
7,24,21,5319,331,50013
8,12,27,1742,331,50013
9,47,35,23822,331,50013
1,32,7,1591,191,50048
2,44,41,3979,191,50048
3,38,19,6016,191,50048
4,39,21,17677,191,50048
5,36,4,4827,191,50048
6,1,43,5485,191,50048
7,43,28,7308,191,50048
8,53,51,2013,191,50048
9,17,41,32459,191,50048
1,33,17,11327,89,50047
2,44,39,6729,89,50047
3,28,25,30595,89,50047
4,36,28,13360,89,50047
5,56,11,2519,89,50047
6,22,32,1376,89,50047
7,12,47,18071,89,50047
8,42,11,12056,89,50047
1,29,31,13605,67,50047
2,31,24,4116,67,50047
4,13,33,24990,67,50047
5,2,58,1244,67,50047
6,28,31,797,67,50047
7,31,24,4116,67,50047
8,24,12,20267,67,50047
9,47,42,72028,67,50047
1,37,1,958,108,50048
2,32,24,2362,108,50048
3,48,28,3055,108,50048
4,53,16,8648,108,50048
5,21,30,3022,108,50048
6,49,26,2964,108,50048
7,46,36,3161,108,50048
8,28,31,1596,108,50048
9,33,32,11245,108,50048
1,18,57,12249,10,50047
2,46,32,8033,10,50047
3,23,16,16572,10,50047
4,15,17,9330,10,50047
5,20,35,1990,10,50047
6,59,26,1868,10,50047
7,15,20,11544,10,50047
8,53,45,3526,10,50047
9,30,9,15585,10,50047
1,24,28,1957,537,50061
2,25,14,2172,537,50061
3,11,15,42973,537,50061
4,36,57,1419,537,50061
5,17,23,2406,537,50061
6,4,23,2235,537,50061
7,5,21,1792,537,50061
8,20,10,2533,537,50061
9,20,7,42939,537,50061
1,13,38,2938,540,50061
2,18,23,4319,540,50061
3,26,25,15772,540,50061
4,8,17,2252,540,50061
5,7,49,1768,540,50061
6,17,26,4481,540,50061
7,15,30,1625,540,50061
8,12,14,5021,540,50061
9,23,16,14299,540,50061
1,18,4,7175,83,50047
2,15,37,1779,83,50047
3,49,30,46699,83,50047
4,10,14,8549,83,50047
5,1,29,1342,83,50047
6,5,29,899,83,50047
7,58,37,14333,83,50047
8,51,46,3860,83,50047
9,16,16,49581,83,50047
1,42,24,977,102,50048
2,9,27,3670,102,50048
3,4,52,5129,102,50048
4,44,59,56254,102,50048
5,59,39,5992,102,50048
6,4,52,5129,102,50048
7,39,42,10760,102,50048
8,51,45,2311,102,50048
9,37,15,39125,102,50048
1,15,20,1648,175,50048
2,5,31,3885,175,50048
3,5,33,3629,175,50048
4,55,20,7711,175,50048
5,15,27,3940,175,50048
6,7,27,3485,175,50048
7,10,27,3934,175,50048
8,35,47,1463,175,50048
9,42,13,7520,175,50048
1,27,46,1248,418,50060
2,1,42,1918,418,50060
3,59,34,1821,418,50060
4,6,28,1981,418,50060
5,7,27,2030,418,50060
6,25,42,1151,418,50060
7,5,22,2207,418,50060
8,52,27,13749,418,50060
9,34,25,18847,418,50060
1,18,5,1752,481,50060
2,16,45,3425,481,50060
3,5,12,3052,481,50060
4,11,20,3886,481,50060
5,59,39,2485,481,50060
6,15,56,1174,481,50060
7,41,28,3693,481,50060
8,30,24,6049,481,50060
9,37,31,6029,481,50060
1,52,34,1531,658,50062
2,55,27,1058,658,50062
3,14,10,8803,658,50062
4,33,50,4026,658,50062
5,6,17,72637,658,50062
6,1,31,924,658,50062
7,27,31,1544,658,50062
8,5,44,10063,658,50062
9,34,42,75314,658,50062
1,34,46,32774,895,50065
2,41,41,2942,895,50065
3,27,37,3584,895,50065
4,38,22,2648,895,50065
5,23,25,3321,895,50065
6,3,51,1509,895,50065
7,38,23,2546,895,50065
8,43,24,1660,895,50065
9,26,39,47493,895,50065
1,29,55,2052,625,50062
2,13,28,1360,625,50062
3,0,45,17610,625,50062
4,53,39,18961,625,50062
5,20,29,76875,625,50062
6,29,18,1580,625,50062
7,30,47,9925,625,50062
8,30,31,14821,625,50062
9,9,40,94455,625,50062
1,17,46,4799,652,50062
2,26,23,1339,652,50062
3,37,4,25618,652,50062
4,49,0,12695,652,50062
5,22,52,65134,652,50062
6,10,36,899,652,50062
7,49,15,3310,652,50062
8,42,55,8604,652,50062
9,46,34,57694,652,50062
1,27,31,18161,806,50065
2,37,32,5711,806,50065
3,31,10,5056,806,50065
4,44,33,4481,806,50065
5,34,35,4548,806,50065
6,47,20,1935,806,50065
7,32,6,3741,806,50065
8,26,29,1414,806,50065
9,26,22,18139,806,50065
1,42,40,34191,871,50065
2,5,55,5191,871,50065
3,50,46,8740,871,50065
4,42,26,3867,871,50065
5,10,49,5711,871,50065
6,30,39,2236,871,50065
7,29,45,3013,871,50065
8,29,43,976,871,50065
9,42,45,21392,871,50065
1,58,36,3526,22,50047
2,42,31,2241,22,50047
3,38,53,31223,22,50047
4,11,54,9879,22,50047
5,10,51,519,22,50047
6,14,6,450,22,50047
7,31,11,3429,22,50047
8,15,11,5584,22,50047
9,27,25,26264,22,50047
1,29,44,4427,55,50047
2,14,54,4877,55,50047
3,19,50,47194,55,50047
4,7,11,19746,55,50047
5,16,34,1497,55,50047
6,58,31,600,55,50047
7,4,42,8482,55,50047
8,47,3,7590,55,50047
9,39,1,17179,55,50047
1,9,11,1415,578,50061
2,15,21,2130,578,50061
3,27,21,5128,578,50061
4,33,11,632,578,50061
5,15,35,1989,578,50061
6,4,18,1679,578,50061
7,54,19,829,578,50061
8,4,11,2588,578,50061
9,22,26,5109,578,50061
1,21,42,1502,303,50013
2,13,22,3050,303,50013
3,9,12,7159,303,50013
4,25,9,3521,303,50013
5,21,49,1956,303,50013
6,22,6,4705,303,50013
7,24,27,3264,303,50013
8,19,51,929,303,50013
9,39,47,5813,303,50013
1,45,7,2772,596,50061
2,17,39,6992,596,50061
3,26,23,10523,596,50061
4,16,54,2265,596,50061
5,46,5,5593,596,50061
6,38,17,5899,596,50061
7,30,42,2326,596,50061
8,34,21,6354,596,50061
9,30,27,14471,596,50061
1,0,43,3782,374,50013
2,28,19,4671,374,50013
3,33,37,27445,374,50013
4,22,30,5592,374,50013
5,27,49,1794,374,50013
6,56,11,6307,374,50013
7,10,52,4965,374,50013
8,4,25,988,374,50013
9,33,52,30697,374,50013
1,46,0,377,457,50060
2,16,30,2744,457,50060
3,8,28,2019,457,50060
4,26,16,2927,457,50060
5,27,19,2681,457,50060
6,20,29,696,457,50060
7,16,25,2402,457,50060
8,14,30,5742,457,50060
9,34,33,5491,457,50060
1,6,23,2870,420,50060
2,30,34,5091,420,50060
3,6,12,3527,420,50060
4,25,39,5565,420,50060
5,31,31,11362,420,50060
6,47,5,1839,420,50060
7,14,17,4198,420,50060
8,44,24,38923,420,50060
9,43,29,39056,420,50060
1,44,37,717,147,50048
2,40,38,568,147,50048
3,23,31,2037,147,50048
4,29,28,7387,147,50048
5,33,44,1762,147,50048
6,28,30,2715,147,50048
7,22,34,2135,147,50048
8,40,37,676,147,50048
9,31,22,7381,147,50048
1,28,22,3553,28,50047
2,38,33,3487,28,50047
3,8,31,37475,28,50047
4,44,53,5334,28,50047
5,29,3,1402,28,50047
6,9,37,1336,28,50047
7,12,36,5690,28,50047
8,28,23,3551,28,50047
9,52,16,50473,28,50047
1,27,17,493,130,50048
2,26,47,5348,130,50048
3,12,39,8291,130,50048
4,57,19,18900,130,50048
5,26,48,8170,130,50048
6,14,37,9440,130,50048
7,32,16,9540,130,50048
8,4,51,1004,130,50048
9,38,25,23192,130,50048
1,24,0,2687,572,50061
2,10,8,3436,572,50061
3,25,10,20414,572,50061
4,43,28,1493,572,50061
5,21,41,4031,572,50061
6,30,17,3291,572,50061
7,44,5,1860,572,50061
8,23,19,4201,572,50061
9,28,18,14835,572,50061
1,15,13,2582,390,50013
2,31,32,3428,390,50013
3,20,48,5481,390,50013
4,29,40,3280,390,50013
5,20,1,898,390,50013
6,25,47,3799,390,50013
7,13,8,3124,390,50013
8,28,0,1930,390,50013
9,29,51,5463,390,50013
1,53,48,1921,505,50061
2,17,17,5017,505,50061
3,19,15,15603,505,50061
4,31,22,1440,505,50061
5,10,6,6186,505,50061
6,44,39,4470,505,50061
7,46,8,1443,505,50061
8,15,17,6222,505,50061
9,27,13,15684,505,50061
1,12,18,2941,309,50013
2,9,17,3090,309,50013
3,15,18,25773,309,50013
4,7,17,3326,309,50013
5,55,51,1138,309,50013
6,18,28,4337,309,50013
7,32,20,4423,309,50013
8,49,1,2146,309,50013
9,39,44,6279,309,50013
1,27,47,15476,849,50065
2,36,4,3220,849,50065
3,35,39,2882,849,50065
4,47,32,2653,849,50065
5,16,25,9326,849,50065
6,30,13,1059,849,50065
7,37,36,1518,849,50065
8,36,33,859,849,50065
9,24,34,32198,849,50065
1,4,44,1742,684,50062
2,3,32,932,684,50062
3,48,40,15409,684,50062
4,53,18,11348,684,50062
5,50,43,26295,684,50062
6,55,25,431,684,50062
7,38,43,6007,684,50062
8,35,11,12060,684,50062
9,48,46,26285,684,50062
1,25,35,2685,843,50065
2,58,24,1573,843,50065
3,11,28,1395,843,50065
4,58,18,1784,843,50065
5,42,35,2281,843,50065
6,7,33,1449,843,50065
7,15,27,1154,843,50065
8,15,30,1010,843,50065
9,33,36,2612,843,50065
1,3,56,34493,834,50065
2,32,13,2468,834,50065
3,59,22,3009,834,50065
4,32,3,3301,834,50065
5,30,24,4858,834,50065
6,9,18,1526,834,50065
7,1,17,1742,834,50065
8,17,56,1212,834,50065
9,10,49,34218,834,50065
1,44,42,3156,660,50062
2,22,10,760,660,50062
3,53,10,12335,660,50062
4,44,2,11653,660,50062
5,45,40,75558,660,50062
6,21,18,751,660,50062
7,40,44,3118,660,50062
8,38,41,3006,660,50062
9,27,6,22241,660,50062
1,24,4,3806,617,50062
2,19,32,1918,617,50062
3,7,5,23472,617,50062
4,49,12,13655,617,50062
5,9,24,77856,617,50062
6,40,22,883,617,50062
7,37,49,13703,617,50062
8,30,50,13508,617,50062
1,19,20,9634,839,50065
2,17,34,3223,839,50065
3,52,38,2802,839,50065
4,21,24,3880,839,50065
5,28,30,3994,839,50065
6,19,31,1506,839,50065
7,42,11,2627,839,50065
8,51,41,1484,839,50065
9,26,24,7500,839,50065
1,23,21,3279,683,50062
2,59,52,2009,683,50062
3,57,16,5305,683,50062
4,14,24,5656,683,50062
5,40,10,12275,683,50062
6,37,24,1647,683,50062
7,15,21,2683,683,50062
8,15,15,3893,683,50062
9,30,14,17083,683,50062
1,29,24,18731,833,50065
2,30,18,4403,833,50065
3,34,15,4602,833,50065
4,0,33,3528,833,50065
5,30,16,4791,833,50065
6,47,10,1530,833,50065
7,11,33,2589,833,50065
8,3,16,995,833,50065
9,37,53,19693,833,50065
1,16,40,7574,844,50065
2,48,55,3893,844,50065
3,51,47,4178,844,50065
4,42,44,4469,844,50065
5,51,2,4279,844,50065
6,55,28,1292,844,50065
7,6,57,3260,844,50065
8,33,9,1600,844,50065
9,36,35,10516,844,50065
1,40,8,5245,689,50062
2,21,58,1198,689,50062
3,47,8,7975,689,50062
4,54,1,10078,689,50062
5,5,23,68299,689,50062
6,9,51,1447,689,50062
7,56,14,6286,689,50062
8,35,28,8064,689,50062
1,23,15,2225,610,50062
2,52,48,1352,610,50062
3,2,26,10802,610,50062
4,46,12,4500,610,50062
5,19,35,22826,610,50062
6,27,14,1435,610,50062
7,27,35,2295,610,50062
8,31,30,5527,610,50062
9,9,15,16174,610,50062
1,43,3,1342,667,50062
2,40,10,1177,667,50062
3,33,3,7684,667,50062
4,40,11,6595,667,50062
5,27,58,8716,667,50062
6,52,9,946,667,50062
7,32,0,6070,667,50062
8,55,6,7258,667,50062
9,44,58,8246,667,50062
1,48,5,724,748,50063
2,16,22,1323,748,50063
3,18,11,1533,748,50063
4,15,9,1565,748,50063
5,15,18,1300,748,50063
6,14,24,1328,748,50063
7,33,16,30524,748,50063
8,19,13,1563,748,50063
9,23,24,45471,748,50063
1,30,14,8099,52,50047
2,28,32,2606,52,50047
3,43,34,27762,52,50047
4,57,39,7304,52,50047
5,32,4,2430,52,50047
6,48,46,987,52,50047
7,55,47,14520,52,50047
8,58,56,6772,52,50047
1,58,29,6733,25,50047
2,7,29,2001,25,50047
3,38,18,22131,25,50047
4,3,5,8105,25,50047
5,4,6,944,25,50047
6,9,5,482,25,50047
7,41,52,8753,25,50047
8,4,59,5244,25,50047
9,50,10,33536,25,50047
1,29,34,2127,373,50013
2,13,24,2752,373,50013
3,25,41,23564,373,50013
4,36,28,2934,373,50013
5,26,47,1153,373,50013
6,5,37,3623,373,50013
7,34,30,2416,373,50013
8,54,57,768,373,50013
9,30,53,22753,373,50013
1,27,22,2273,591,50061
2,19,23,2599,591,50061
3,27,37,16642,591,50061
4,23,23,1819,591,50061
5,24,15,3241,591,50061
6,26,9,3242,591,50061
7,33,11,2354,591,50061
8,16,21,3821,591,50061
9,33,20,23657,591,50061
1,28,38,2912,304,50013
2,16,53,3189,304,50013
3,0,31,26353,304,50013
4,3,22,3458,304,50013
5,5,34,867,304,50013
6,43,50,7135,304,50013
7,11,41,3281,304,50013
8,28,7,509,304,50013
9,34,47,8205,304,50013
1,13,33,2131,508,50061
2,10,19,2836,508,50061
3,19,19,11064,508,50061
4,17,15,1373,508,50061
5,8,35,4754,508,50061
6,22,9,4287,508,50061
7,1,30,2070,508,50061
8,16,9,7414,508,50061
9,54,20,78724,508,50061
1,44,7,1408,427,50060
2,53,5,2885,427,50060
3,36,11,2260,427,50060
4,1,22,4629,427,50060
5,17,12,2649,427,50060
6,35,16,1747,427,50060
7,27,1,2602,427,50060
8,35,16,4154,427,50060
9,28,29,13279,427,50060
1,0,16,1162,450,50060
2,3,9,1421,450,50060
3,16,14,941,450,50060
4,46,20,1605,450,50060
5,3,13,1307,450,50060
6,16,13,606,450,50060
7,31,13,1374,450,50060
8,35,42,2383,450,50060
9,33,23,11394,450,50060
1,55,31,477,137,50048
2,41,22,1831,137,50048
3,28,3,4050,137,50048
4,37,51,16852,137,50048
5,38,18,2521,137,50048
6,32,22,2607,137,50048
7,18,43,4316,137,50048
8,49,15,1796,137,50048
9,31,18,15169,137,50048
1,54,36,8259,58,50047
2,51,24,1163,58,50047
3,50,52,65274,58,50047
4,36,40,9161,58,50047
5,51,26,1109,58,50047
6,48,35,512,58,50047
7,38,42,11940,58,50047
8,58,28,7653,58,50047
1,47,49,1287,140,50048
2,31,24,3288,140,50048
3,24,15,3476,140,50048
4,36,30,14647,140,50048
5,43,58,4509,140,50048
6,17,9,3897,140,50048
7,16,27,3963,140,50048
8,1,35,3781,140,50048
9,39,38,36084,140,50048
1,6,13,2353,379,50013
2,24,25,3572,379,50013
3,13,49,31123,379,50013
4,24,46,3712,379,50013
5,7,38,1415,379,50013
6,40,21,3921,379,50013
7,6,19,2778,379,50013
8,6,12,2372,379,50013
9,46,50,12365,379,50013
1,23,20,2103,502,50061
2,20,25,3096,502,50061
3,19,13,9880,502,50061
4,32,19,475,502,50061
5,14,57,3302,502,50061
6,17,15,4351,502,50061
7,32,14,1718,502,50061
8,8,16,4269,502,50061
9,32,20,58724,502,50061
1,11,13,2566,397,50013
2,14,26,3412,397,50013
3,13,18,13203,397,50013
4,19,21,3257,397,50013
5,21,52,919,397,50013
6,3,19,2976,397,50013
7,3,19,3184,397,50013
8,22,52,966,397,50013
9,14,18,18473,397,50013
1,50,8,1385,575,50061
2,12,21,2329,575,50061
3,19,22,20617,575,50061
4,55,41,1321,575,50061
5,52,17,1936,575,50061
6,27,14,2216,575,50061
7,16,3,1151,575,50061
8,22,25,5273,575,50061
9,21,21,20611,575,50061
1,36,34,3594,628,50062
2,54,44,583,628,50062
3,0,44,2905,628,50062
4,52,16,6345,628,50062
5,0,17,13551,628,50062
6,8,55,2149,628,50062
7,29,3,5781,628,50062
8,7,2,3560,628,50062
9,42,6,13135,628,50062
1,50,14,4895,892,50065
2,24,2,2589,892,50065
3,23,40,2477,892,50065
4,28,36,2717,892,50065
5,47,22,3701,892,50065
6,10,27,1811,892,50065
7,14,58,1097,892,50065
8,46,4,633,892,50065
9,19,24,8608,892,50065
1,11,30,1264,707,50063
2,10,53,2451,707,50063
3,27,25,3287,707,50063
4,26,24,3234,707,50063
5,8,33,2214,707,50063
6,59,29,1211,707,50063
7,32,21,16260,707,50063
8,35,18,3143,707,50063
9,26,20,9724,707,50063
1,58,40,4457,655,50062
2,48,24,1826,655,50062
3,2,31,18630,655,50062
4,40,13,10569,655,50062
5,49,17,32586,655,50062
6,46,33,1892,655,50062
7,57,20,5008,655,50062
8,45,4,10682,655,50062
9,41,8,29755,655,50062
1,41,36,3040,622,50062
2,45,20,570,622,50062
3,26,17,9025,622,50062
4,55,9,12979,622,50062
6,44,9,489,622,50062
7,39,58,9853,622,50062
