env, ud, task, x, y, div, rank
control,3028,7,53,37,1.10631371386,53.0
control,2097,6,41,16,1.77356815817,95.8888888889
control,1480,1,47,30,0.0,0.0
control,17475,9,57,13,1.31999583875,39.1111111111
control,51751,8,30,50,1.67933083224,77.7222222222
control,1631,2,52,50,0.634309554641,95.0
control,3250,3,52,46,0.996118213778,34.7222222222
control,1570,4,38,37,0.0,0.0
control,1683,5,58,46,1.37095059445,99.2222222222
control,5924,8,33,59,1.23664074194,36.8611111111
control,2577,7,2,16,1.35933083224,71.7777777778
control,2310,6,37,58,0.884183719779,50.4722222222
control,1031,2,7,52,1.01543127956,98.0555555556
control,18054,9,43,33,1.59430295147,77.5555555556
control,871,4,6,51,0.0,0.0
control,793,1,16,40,0.0,0.0
control,1251,5,6,47,0.634309554641,80.2222222222
control,2283,3,56,14,1.17712456976,75.2222222222
control,1366,2,14,59,0.0,0.0
control,2081,6,40,27,0.996118213778,74.9166666667
control,2998,7,27,39,1.64307418943,71.7777777778
control,1110,1,10,44,0.0,0.0
control,2417,3,53,11,1.01543127956,67.0
control,53917,8,48,34,1.62438145772,63.7777777778
control,2450,5,11,57,1.2177968116,75.9444444444
control,18916,9,55,33,1.22523577947,25.5
control,1604,4,19,53,0.85545081056,92.3611111111
control,4441,7,57,37,0.764114054554,8.05555555556
control,54491,9,13,53,1.81972183241,72.5833333333
control,2036,6,43,32,1.17712456976,56.0555555556
control,1557,2,30,27,0.529360865287,63.6944444444
control,62465,8,15,21,1.81701481125,82.3333333333
control,867,1,32,16,0.0,0.0
control,2032,3,43,24,0.95104566058,44.8055555556
control,1719,5,30,10,1.43366245423,94.0555555556
control,1622,4,33,17,0.721928094887,64.1111111111
control,18998,9,12,31,1.24151018874,44.3333333333
control,951,2,0,41,0.0,0.0
control,1210,3,12,28,1.02111918856,95.4166666667
control,1728,6,28,49,1.71525589923,93.2222222222
control,1082,1,8,34,1.31085629839,99.8055555556
control,3039,8,8,18,1.25543127956,65.8333333333
control,1799,5,16,43,1.32151018874,75.8888888889
control,967,4,2,34,0.0,0.0
control,2072,7,26,58,1.35272419562,67.1388888889
control,15892,8,38,18,1.14523577947,50.75
control,1384,2,36,13,0.0,0.0
control,2363,4,14,28,0.989587521222,94.1111111111
control,4210,7,15,20,0.874309554641,15.3888888889
control,12300,9,14,20,1.37131468865,80.75
control,2850,3,12,39,1.90904103608,93.1944444444
control,2541,5,15,22,0.721928094887,73.8611111111
control,2302,6,16,8,0.998845535995,99.1111111111
control,1308,1,31,0,0.0,0.0
control,410,1,17,4,0.0,0.0
control,1857,6,0,31,1.23095956311,50.25
control,7458,7,36,44,0.719556365374,9.38888888889
control,951,5,21,15,0.866313713865,82.1111111111
